Short Description,Common Abbr.,Paper Abbr.,Value,Unit,Python Var,Reference
,,,$0.5$,,Pext,
,,,$2.72$,,V_maxbase_rubisco,
,,,$1.6$,,V_maxbase_fbpase,
,,,$0.32$,,V_maxbase_sbpase,
,,,$7.9992$,,V_maxbase_prkase,
,,,$0.32$,,V_maxbase_starch,
,,,$2.0$,,Vmax_ex,
,,,$0.00031$,,K_PGK1ase,
,,,$16000000.0$,,K_BPGAdehynase,
,,,$22.0$,,K_TPIase,
,,,$7.1$,,K_Aldolase_FBP,
,,,$0.084$,,K_TKase_E4P,
,,,$13.0$,,K_Aldolase_SBP,
,,,$0.85$,,K_TKase_R5P,
,,,$0.4$,,K_Rpiase,
,,,$0.67$,,K_RPEase,
,,,$2.3$,,K_PGIase,
,,,$0.058$,,K_PGMase,
,,,$0.02$,,Km_RuBisCO_RUBP,
,,,$0.0107$,,Km_RuBisCO_CO2,
,,,$0.03$,,Km_FBPase,
,,,$0.013$,,Km_SBPase,
,,,$0.05$,,Km_PRKase_RU5P,
,,,$0.05$,,Km_PRKase_ATP,
,,,$0.08$,,Km_Starch_G1P,
,,,$0.08$,,Km_Starch_ATP,
,,,$0.25$,,K_diss_PGA,
,,,$0.075$,,K_diss_GAP,
,,,$0.077$,,K_diss_DHAP,
,,,$0.63$,,K_diss_Pi,
,,,$0.74$,,K_diss_Pext,
,,,$0.04$,,Ki_RuBisCO_PGA,
,,,$0.04$,,Ki_RuBisCO_FBP,
,,,$0.075$,,Ki_RuBisCO_SBP,
,,,$0.9$,,Ki_RuBisCO_Pi,
,,,$0.07$,,Ki_RuBisCO_NADPH,
,,,$0.7$,,Ki_FBPase_F6P,
,,,$12.0$,,Ki_FBPase_Pi,
,,,$12.0$,,Ki_SBPase_Pi,
,,,$2.0$,,Ki_PRKase_PGA,
,,,$0.7$,,Ki_PRKase_RuBP,
,,,$4.0$,,Ki_PRKase_Pi,
,,,$2.5$,,Kiunc_PRKase_ADP,
,,,$0.4$,,Kicom_PRKase_ADP,
,,,$10.0$,,Ki_Starch_ADP,
,,,$0.1$,,Kact_Starch_PGA,
,,,$0.02$,,Kact_Starch_F6P,
,,,$0.02$,,Kact_Starch_FBP,
,,,$800000000.0$,,k_fast,
,,,$10000.0$,,k_f1,
,,,$220.0$,,k_r1,
,,,$10000.0$,,k_f2,
,,,$4000.0$,,k_r2,
,,,$2510.0$,,k_f3,
,,,$10000.0$,,k_f4,
,,,$4000.0$,,k_r4,
,,,$2510.0$,,k_f5,
,,,$0.07$,,XT,
,,,$1.0$,,k_Mehler,
,,,$595$,,kcat_GR,
,,,$142$,,kcat_DHAR,
,,,$500.0$,,k3,
,,,$0.003$,,Km_NADPH,
,,,$0.2$,,Km_GSSG,
,,,$0.07$,,Km_DHA,
,,,$2.5$,,Km_GSH,
,,,$0.5$,,K_DHAR,
,,,$0.0014$,,GR_0,
,,,$0.0017$,,DHAR_0,
,,,$10$,,Glutathion_total,
,,,$10$,,Ascorbate_total,
,,,$300.0$,,kcat_MDAR,
,,,$0.023$,,Km_MDAR_NADPH,
,,,$0.0014$,,Km_MDAR_MDA,
,,,$0.002$,,MDAR_0,
,,,$0.2$,,k_ex_atp,
,,,$0.2$,,k_ex_nadph,
,,,$1$,,thioredoxin_tot,
,,,$6$,,e_cbb_tot,
,,,$1$,,k_fd_tr_reductase,
,,,$1$,,k_e_cbb_activation,
,,,$0.1$,,k_e_cbb_relaxation,
