Short Description,Common Abbr.,Paper Abbr.,Value,Unit,MetaCyc ID,Python Var,Reference
Rate of flourescence,$k_F$,$k_F$,$6.25 \cdot 10^8$,$\mathrm{s}^{-1}$,,k_F,
Rate of photochemistry,$k_P$,$k_P$,$5 \cdot 10^9$,$\mathrm{s}^{-1}$,,k_P,https://doi.org/10.1098/rstb.2013.0223
,$k_\mathrm{PTOX}$,$k_\mathrm{PTOX}$,$0.01$,$\mathrm{mmol^{-1}(mol\ Chl)s^{-1}}$,,k_PTOX,https://doi.org/10.1098/rstb.2013.0223
Stroma pH of a dark adapted state,$\mathrm{pH}_{\mathrm{st}}$,$\mathrm{pH}_\mathrm{stroma}$,$7.8$,,,pH_st,
,$k_\mathrm{leak}$,$k_\mathrm{leak}$,$1000$,$\mathrm{s}^{-1}$,,k_leak,
Proton buffering constant,$b_\mathrm{H}$,$b_\mathrm{H}$,$100$,,,b_H,https://doi.org/10.1007/s11120-006-9109-1
Ratio of protons to ATP in ATP synthase,$\mathrm{HPR}$,$\mathrm{HPR}$,$\frac{14}{3}$,,,hpr,
Rate constant of de-epoxidation of violaxanthin,$k_\mathrm{kDeepoxV}$,$k_\mathrm{DeepoxV}$,$0.0024$,$\mathrm{s}^{-1}$,,k_DV,https://doi.org/10.1016/j.jplph.2014.03.004
Rate constant of epoxidation of violaxanthin,$k_\mathrm{kEpoxZ}$,$k_\mathrm{EpoxZ}$,$0.00024$,$\mathrm{s}^{-1}$,,k_EZ,
"Half-saturation pH for de-epoxidase activity, highest activity at pH 5.8",$K_\mathrm{pHSat}$,$K_\mathrm{pHSat}$,$5.8$,,,K_pHSat,
Hill-coefficient for de-epoxidase acitivity,$\mathrm{nH}_\mathrm{X}$,$\mathrm{nH}_\mathrm{X}$,$5$,,,nhx,
Half-saturation constant (relative conc. of Zx) for quenching,$K_\mathrm{ZSat}$,$K_\mathrm{ZSat}$,$0.12$,,,K_ZSat,
Hill-coefficient for de.protonation activity,$\mathrm{nH}_\mathrm{L}$,$\mathrm{nH}_\mathrm{L}$,$3$,,,nhl,
Rate of PsbS deprotonation,$k_\mathrm{Deprotonation}$,$k_\mathrm{Deprotonation}$,$0.0096$,$\mathrm{s}^{-1}$,,k_deprot,
Rate of PsbS protonation,$k_\mathrm{Protonation}$,$k_\mathrm{Protonation}$,$0.0096$,$\mathrm{s}^{-1}$,,k_prot,
"pKa of PsbS activation, kept the same as for VDA",$K_\mathrm{pHSatLHC}$,$K_\mathrm{pHSatLHC}$,$5.8$,,,K_pHSatLHC,
Fitted quencher factor corresponding to base quenching not associated with protonation or zeaxanthin,$\gamma_0$,$\gamma_0$,$0.1$,,,gamma_0,
Fitted quencher factor corresponding to fast quenching due to protonation,$\gamma_1$,$\gamma_1$,$0.25$,,,gamma_1,
Fitted quencher factor corresponding to fastest possible quenching,$\gamma_2$,$\gamma_2$,$0.6$,,,gamma_2,
Fitted quencher factor corresponding to slow quenching of Zx present despite lack of protonation,$\gamma_3$,$\gamma_3$,$0.15$,,,gamma_3,
Faraday constant,$F$,$F$,$96.485$,$\mathrm{kJ}$,,F,
Universal gas constant,$R$,$R$,$8.3$,$\mathrm{J\ K^{-1} \ mol^{-1}}$,,R,
Temperature,$T$,$T$,$298$,$\mathrm{K}$,,T,
,$E^0\mathrm{(QA/QA^-)}$,$E^0\mathrm{(QA/QA^-)}$,$-0.140$,$\mathrm{V}$,,E0_QA,https://doi.org/10.1073/pnas.1100173108
,$E^0\mathrm{(PQ/PQH_2)}$,$E^0\mathrm{(PQ/PQH_2)}$,$0.354$,$\mathrm{V}$,,E0_PQ,https://doi.org/10.1016/0005-2728(76)90067-0
,$E^0\mathrm{(PC/PC^-)}$,$E^0\mathrm{(PC/PC^-)}$,$0.380$,$\mathrm{V}$,,E0_PC,https://doi.org/10.1093/oxfordjournals.pcp.a077363
Standard Gibbs free energy change of ATP formation,$\Delta G_{0_{\mathrm{ATP}}}$,$\Delta G_{0_{\mathrm{ATP}}}$,$30.6$,$\mathrm{kJ mol^{-1}}$,,DG_ATP,https://doi.org/10.1016/B978-012518121-1/50000-2
