Short Description,Common Abbr.,Paper Abbr.,Value,Unit,Python Var,Reference
The yield of triplets from each recombination event,$\Phi _{\mathrm{triplet}}$,$\Phi _{triplet}$,$0.45$,,phi_triplet,
The yield of 1O2 for each triplet formed,$\Phi _{\mathrm{^1O_2}}$,$\Phi _{O_2}^1$,$1$,,phi_1O2,
Photosynthetically active radiation,$\mathrm{PAR}$,$\mathrm{PAR}$,$10$,$\mathrm{photons\ m^{-2}}$,PAR,
The maximum relative rate of PSII centers (0-1),,,$1$,$6 \times 10^{10} \mathrm{complexes}\ \mathrm{cm}^{-2}$,PSII_max,
The relative antenna size of PSII,$\sigma _\mathrm{II} ^0$,$\mathrm{PSII_{antenna_size}}$,$0.5$,,sigma0_II,
The averate rate constant of oxidation of QA- by QB and PQ,$k_\mathrm{{QA}$,$k_\mathrm{{QA}}$,$1000$,$\mathrm{s}^{-1}$,k_QA,
Equilibrium constant of QA- by QB and PQ,$K_\mathrm{QA}$,$Keq_{QA \rightarrow PQ},$200$,,K_QA,
The capcitance of the thylakoid expressed as V/charge/PSII,$vpc$,$\mathrm{Volts\_per\_charge}$,$0.047$,$\mathrm{V}$,vpc,
The relative cross section of PSI antenna,$\sigma _\mathrm{I} ^0$,$\mathrm{PSI_{antenna_size}}$,$0.5$,,sigma0_I,
Lumenal concentration change of ion per turnover,$ipt_\mathrm{lu}$,$\mathrm{lumen\_protons\_per\_turnover}$,$0.000587$,$\mathrm{M}$,ipt_lu,
The proton buffering capacity of the lumen in M/pH unit,$b_\mathrm{H}$,$\mathrm{Buffering\ capacity}$,$0.014$,$\mathrm{M}\ \left( \mathrm{pH\ unit} \right)^{-1}$,b_H,
Stromal concentration change of ion per turnover,$ipt_\mathrm{st}$,$\mathrm{stroma\_protons\_per\_turnover}$,$5.87e-05$,$\mathrm{M}$,ipt_st,
The relative permeability of the thylakoid to counterions,$\mathrm{P_{K^+}}$,$\mathrm{Perm_K}$,$150$,$\mathrm{s}^{-1}\ \mathrm{V}^{-1}$,P_K,
The rate constant for VCCN1 moving Cl- from stroma to lumen,$k_\mathrm{VCCN1}$,$k_{VCCN1}$,$12$,$\mathrm{s}^{-1}\ \mathrm{M}^{-1}$,k_VCCN1,
"The rate constant for CLCE2 moving Cl- from lumen to stroma, driving by H+ gradient",$k_\mathrm{ClCe}$,$k_{CLCE}$,$80000$,$\mathrm{s}^{-1}\ \mathrm{M}^{-2}\ \mathrm{V}^{-1}$,k_ClCe,
The rate constant for transfer of electrons from PC to P700+,$k_\mathrm{PC|P700}$,$k_{PC\_to\_P700}$,$5000$,$\mathrm{M}$,k_PCtoP700,
The rate constant for the KEA H+/H+ antiporter,$k_\mathrm{KEA3}$,$k_{KEA3}$,$2500000$,$\mathrm{s}^{-1}\ \mathrm{M}^{-2}$,k_KEA3,
PAR photons per PSII,$ppPSII$,$\mathrm{light\_per\_L}$,$0$,,ppPSII,
The second order rate constant for oxidation of Fd by NADP+,$k_\mathrm{Fd|NADP}$,$k_\mathrm{Fd\_to\_NADP}$,$1000$,,k_FdtoNADP,
The rate constant for a simplified Calvin-Benson Cycle,$k_\mathrm{CBB}$,$k_{CBC}$,$60$,$\mathrm{s}^{-1}$,k_CBB,
Rate constant of Proton leak,$k_\mathrm{Leak}$,$k_{leak}$,$30000000$,$\mathrm{s}^{-1}\ \mathrm{M}^{-1}\ \mathrm{V}^{-1}$,k_Leak,
Stroma pH,$\mathrm{pH}_\mathrm{st}$,$\mathrm{pH_{stroma}},$7.8$,,pH_st,
